Header Size:	 78	 	 
Pulse Version:	 42	 	 
Decimal Symbol:	.	 	 
Date Format:	dd-MM-yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	3201	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 7.5000000000e+001	 	 
X-Axis delta:	 6.2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 1.7500000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	p_A_source	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	Pressure C	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(Pressure C,p_A_source) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	05-03-2025	 
Time:	 	11:59:19:994	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 7.5000000000e+001	-1.76947e-003	 6.79956e-004
2	 7.5062500000e+001	-1.73685e-003	 8.97074e-004
3	 7.5125000000e+001	-1.89541e-003	 7.64145e-004
4	 7.5187500000e+001	-2.01495e-003	 7.20062e-004
5	 7.5250000000e+001	-2.08148e-003	 8.23115e-004
6	 7.5312500000e+001	-2.22870e-003	 7.99312e-004
7	 7.5375000000e+001	-2.31605e-003	 7.79550e-004
8	 7.5437500000e+001	-2.44263e-003	 8.69374e-004
9	 7.5500000000e+001	-2.55039e-003	 1.03987e-003
10	 7.5562500000e+001	-2.83078e-003	 1.34434e-003
11	 7.5625000000e+001	-2.92422e-003	 1.55332e-003
12	 7.5687500000e+001	-2.85676e-003	 1.77946e-003
13	 7.5750000000e+001	-2.75132e-003	 1.96505e-003
14	 7.5812500000e+001	-2.77798e-003	 1.98994e-003
15	 7.5875000000e+001	-2.75396e-003	 2.17695e-003
16	 7.5937500000e+001	-2.67740e-003	 2.27221e-003
17	 7.6000000000e+001	-2.66702e-003	 2.31735e-003
18	 7.6062500000e+001	-2.63706e-003	 2.44571e-003
19	 7.6125000000e+001	-2.63852e-003	 2.52582e-003
20	 7.6187500000e+001	-2.63483e-003	 2.46549e-003
21	 7.6250000000e+001	-2.66767e-003	 2.41662e-003
22	 7.6312500000e+001	-2.70061e-003	 2.45681e-003
23	 7.6375000000e+001	-2.78271e-003	 2.39160e-003
24	 7.6437500000e+001	-2.77737e-003	 2.46273e-003
25	 7.6500000000e+001	-2.74145e-003	 2.50119e-003
26	 7.6562500000e+001	-2.77288e-003	 2.65607e-003
27	 7.6625000000e+001	-2.87272e-003	 2.84647e-003
28	 7.6687500000e+001	-3.00954e-003	 2.87084e-003
29	 7.6750000000e+001	-3.06811e-003	 3.08838e-003
30	 7.6812500000e+001	-3.17655e-003	 3.38874e-003
31	 7.6875000000e+001	-3.50447e-003	 3.43754e-003
32	 7.6937500000e+001	-3.64060e-003	 3.58179e-003
33	 7.7000000000e+001	-3.79580e-003	 3.76198e-003
34	 7.7062500000e+001	-3.34979e-003	 4.01057e-003
35	 7.7125000000e+001	-3.46013e-003	 4.21910e-003
36	 7.7187500000e+001	-3.79373e-003	 4.13767e-003
37	 7.7250000000e+001	-3.98558e-003	 4.55340e-003
38	 7.7312500000e+001	-4.11604e-003	 4.95068e-003
39	 7.7375000000e+001	-4.27436e-003	 5.22943e-003
40	 7.7437500000e+001	-5.08792e-003	 5.78174e-003
41	 7.7500000000e+001	-5.24205e-003	 5.99645e-003
42	 7.7562500000e+001	-6.44336e-003	 6.22172e-003
43	 7.7625000000e+001	-6.72014e-003	 7.90126e-003
